"tweet_id","in_reply_to_status_id","in_reply_to_user_id","retweeted_status_id","retweeted_status_user_id","timestamp","source","text","expanded_urls"
"7132462683","","","","","2009-12-28 19:41:54 +0000","<a href=""http://www.tweetdeck.com/"" rel=""nofollow"">TweetDeck</a>","The Union Police Dispatch reader favorites: http://bit.ly/6h323N"
"6982685931","","","","","2009-12-24 00:59:08 +0000","<a href=""http://www.tweetdeck.com/"" rel=""nofollow"">TweetDeck</a>","Daaaammmmnnn. @amdavidson, you were right. Did not see the Dexter season finale coming."
"6974046324","","","","","2009-12-23 19:28:56 +0000","<a href=""http://www.tweetdeck.com/"" rel=""nofollow"">TweetDeck</a>","A Calvin and Hobbes comic if Calvin grew up: http://bit.ly/6byPSr"
"6936887287","","","","","2009-12-22 18:21:27 +0000","<a href=""http://www.tweetdeck.com/"" rel=""nofollow"">TweetDeck</a>","From a vendor: ""Hope you and your colleagues, familys have a happy and power life forever!! """
"6887619596","","","","","2009-12-21 08:08:45 +0000","<a href=""http://www.tweetdeck.com/"" rel=""nofollow"">TweetDeck</a>","Ready for the snow with my new snowboard and bindings! Getting my first chance to use them over New Years in South Lake."
"6837764016","","","","","2009-12-19 19:47:59 +0000","<a href=""http://www.tweetdeck.com/"" rel=""nofollow"">TweetDeck</a>","RT @mikeyk: Turns out the best way to get Internet access at SFO is to sit by the window and use the parked airplanes? onboard wifi"
"6773145999","6761510611","10200322","","","2009-12-17 20:19:35 +0000","<a href=""http://www.tweetdeck.com/"" rel=""nofollow"">TweetDeck</a>","@amdavidson I've got two more episodes to watch to get to it. I'm excited!"
"6772474723","","","","","2009-12-17 19:53:18 +0000","<a href=""http://flickr.com/services/twitter/"" rel=""nofollow"">Flickr</a>","Caja China, round 2. http://flic.kr/p/7ousSa"
"6757001877","","","","","2009-12-17 06:42:38 +0000","web","Tyreke Evans is a beast. Rookie of the year!"
"6642104686","","","","","2009-12-13 22:36:44 +0000","<a href=""http://twitter.com/devices"" rel=""nofollow"">txt</a>","Fantastic Bambique yesterday with cooperating weather. Heading to PG to climb off the gorging."
"6539840749","6539792619","15668311","","","2009-12-10 18:44:14 +0000","web","@mattborn I see your logic and refute it based on the fact that 'singleton' has 'ton' in it, which is more than one."
"6454101253","","","6452250059","10200322","2009-12-08 04:27:15 +0000","<a href=""http://www.tweetdeck.com/"" rel=""nofollow"">TweetDeck</a>","RT @amdavidson: ""I enjoy this photo""  http://bit.ly/93laDi /via @chrisstreeter"
"6423250550","","","","","2009-12-07 06:04:17 +0000","<a href=""http://www.tweetdeck.com/"" rel=""nofollow"">TweetDeck</a>","Enjoyed the cookies @blannamae made, and the houses @astreete , @deaneckles  and @b_mckittrick  each made."
"6423156137","","","","","2009-12-07 05:59:34 +0000","<a href=""http://www.tweetdeck.com/"" rel=""nofollow"">TweetDeck</a>","Spent the day slow cooking a pomegranate juice beef roast, making gingerbread and the accompanying house and watching movies. Great day."
"6407712422","","","","","2009-12-06 19:36:08 +0000","<a href=""http://twitter.com/devices"" rel=""nofollow"">txt</a>","Thomas Keller is signing his new book at the Williams Sonoma next to my house right now."
"6295350431","","","","","2009-12-03 05:46:46 +0000","web","Kings are 4 in a row! Tyreke Evans and LJ are the only two in the NBA averaging 18.5 pts, 5 rebounds, and 4.5 assists per game the season."
"6288049333","","","","","2009-12-03 01:13:02 +0000","web","Turk: Are you going to hit that?
Kelso: Hell yeah. Like a semi truck without brakes."
"6248531369","","","","","2009-12-01 22:05:40 +0000","web","It's snowing! http://www.flickr.com/photos/chrisstreeter/4139638680/?snow=1"
